# epsilon = 5E-4
# theta  (T0-Te)
-3.141500000000000181e+00 4.019999999997914131e-04
-3.081421052631579283e+00 4.569999999999296847e-04
-3.021342105263157940e+00 3.579999999998584315e-04
-2.961263157894737041e+00 2.420000000000754881e-04
-2.901184210526316143e+00 1.820000000001265050e-04
-2.841105263157894800e+00 1.530000000000697469e-04
-2.781026315789473902e+00 1.669999999998061924e-04
-2.720947368421052559e+00 1.699999999997814371e-04
-2.660868421052631660e+00 1.240000000000129887e-04
-2.600789473684210762e+00 8.499999999989071853e-05
-2.540710526315789419e+00 8.900000000000574119e-05
-2.480631578947368521e+00 7.799999999980045118e-05
-2.420552631578947178e+00 6.599999999989947241e-05
-2.360473684210526280e+00 2.199999999996649080e-05
-2.300394736842105381e+00 -1.199999999990097876e-05
-2.240315789473684482e+00 -9.699999999979169729e-05
-2.180236842105263140e+00 -8.600000000003049649e-05
-2.120157894736841797e+00 -1.349999999997741895e-04
-2.060078947368420899e+00 -1.530000000000697469e-04
-2.000000000000000000e+00 -2.340000000002895320e-04
-1.949999999999999956e+00 -3.139999999999254499e-04
-1.899999999999999911e+00 -3.730000000001787441e-04
-1.849999999999999867e+00 -3.839999999999399449e-04
-1.800000000000000044e+00 -4.889999999999616875e-04
-1.750000000000000000e+00 -5.370000000000096918e-04
-1.699999999999999956e+00 -5.809999999994985842e-04
-1.649999999999999911e+00 -7.429999999999381544e-04
-1.600000000000000089e+00 -7.880000000000109139e-04
-1.550000000000000044e+00 -1.018999999999881112e-03
-1.500000000000000000e+00 -1.149999999999984368e-03
-1.449999999999999956e+00 -1.420999999999672525e-03
-1.399999999999999911e+00 -1.625000000000209610e-03
-1.350000000000000089e+00 -1.913999999999749235e-03
-1.300000000000000044e+00 -1.808999999999727493e-03
-1.250000000000000000e+00 -2.267999999999936733e-03
-1.200000000000000178e+00 -2.982999999999957907e-03
-1.149999999999999911e+00 -3.386999999999584787e-03
-1.100000000000000089e+00 -3.967999999999971550e-03
-1.050000000000000044e+00 -4.541999999999823956e-03
-1.000000000000000000e+00 -5.136999999999947164e-03
-9.499999999999999556e-01 -5.747999999999642284e-03
-8.999999999999999112e-01 -6.580000000000030269e-03
-8.499999999999999778e-01 -7.292000000000076199e-03
-7.999999999999999334e-01 -7.899000000000100385e-03
-7.500000000000000000e-01 -8.685999999999971521e-03
-6.999999999999999556e-01 -9.319999999999772911e-03
-6.499999999999999112e-01 -1.027399999999989433e-02
-5.999999999999999778e-01 -1.084899999999988651e-02
-5.500000000000000444e-01 -1.095799999999957919e-02
-5.000000000000000000e-01 -1.133099999999975793e-02
-4.500000000000000111e-01 -1.143200000000010874e-02
-4.000000000000000222e-01 -1.173299999999999343e-02
-3.499999999999999778e-01 -1.218699999999994787e-02
-3.000000000000000444e-01 -1.210999999999984311e-02
-2.500000000000000000e-01 -1.202499999999995239e-02
-2.000000000000000666e-01 -1.190199999999963509e-02
-1.500000000000000222e-01 -1.166199999999983916e-02
-9.999999999999997780e-02 -1.170500000000007645e-02
-5.000000000000004441e-02 -1.142999999999982919e-02
0.000000000000000000e+00 -1.107699999999978147e-02
5.000000000000000278e-02 -1.060499999999997556e-02
1.000000000000000056e-01 -1.003699999999962955e-02
1.499999999999999944e-01 -9.427000000000074209e-03
2.000000000000000111e-01 -8.782000000000067530e-03
2.500000000000000000e-01 -8.131000000000110361e-03
2.999999999999999889e-01 -7.331000000000198469e-03
3.499999999999999778e-01 -6.360000000000365361e-03
3.999999999999999667e-01 -5.171999999999954412e-03
4.499999999999999556e-01 -3.811000000000230870e-03
4.999999999999999445e-01 -2.295999999999853713e-03
5.499999999999999334e-01 -6.999999999997008615e-04
5.999999999999999778e-01 8.850000000002467004e-04
6.500000000000000222e-01 2.431000000000071992e-03
6.999999999999999556e-01 3.792999999999935312e-03
7.500000000000000000e-01 5.054999999999587601e-03
7.999999999999999334e-01 6.092999999999904048e-03
8.499999999999999778e-01 7.026999999999894442e-03
9.000000000000000222e-01 7.746999999999726327e-03
9.499999999999999556e-01 8.900999999999825718e-03
1.000000000000000000e+00 9.949000000000207677e-03
1.050000000000000044e+00 1.076699999999997104e-02
1.100000000000000089e+00 1.133599999999956864e-02
1.150000000000000133e+00 1.180699999999967886e-02
1.199999999999999956e+00 1.195799999999991314e-02
1.250000000000000000e+00 1.208000000000009067e-02
1.300000000000000044e+00 1.197699999999990439e-02
1.350000000000000089e+00 1.182499999999997442e-02
1.399999999999999911e+00 1.190299999999977487e-02
1.449999999999999956e+00 1.184700000000038500e-02
1.500000000000000000e+00 1.184200000000013020e-02
1.550000000000000044e+00 1.192999999999999616e-02
1.600000000000000089e+00 1.133000000000006224e-02
1.649999999999999911e+00 1.089199999999967972e-02
1.699999999999999956e+00 1.047400000000031639e-02
1.750000000000000000e+00 1.004399999999971982e-02
1.799999999999999822e+00 9.605000000000085691e-03
1.850000000000000089e+00 9.132000000000140005e-03
1.899999999999999911e+00 8.684999999999831743e-03
1.949999999999999956e+00 8.175999999999739032e-03
2.000000000000000000e+00 7.664000000000115165e-03
2.049999999999999822e+00 7.193000000000004945e-03
2.107447368421052403e+00 6.673000000000151033e-03
2.164894736842104983e+00 6.190000000000139835e-03
2.222342105263157563e+00 5.661999999999611788e-03
2.279789473684210588e+00 5.036999999999736133e-03
2.337236842105263168e+00 4.595999999999822450e-03
2.394684210526315749e+00 4.230000000000178062e-03
2.452131578947368329e+00 3.817000000000181359e-03
2.509578947368420909e+00 3.371999999999708564e-03
2.567026315789473934e+00 3.077999999999914138e-03
2.624473684210526514e+00 2.597999999999878185e-03
2.681921052631579094e+00 2.257000000000175532e-03
2.739368421052631675e+00 1.920000000000143814e-03
2.796815789473684255e+00 1.684999999999714504e-03
2.854263157894736835e+00 1.425000000000231637e-03
2.911710526315789416e+00 1.143999999999589789e-03
2.969157894736841996e+00 9.299999999998753708e-04
3.026605263157895020e+00 7.739999999998303792e-04
3.084052631578947601e+00 6.119999999998348983e-04
3.141500000000000181e+00 4.650000000001597300e-04
