# epsilon = 1E-4
# theta  (T0-Te)
-3.141500000000000181e+00 1.119999999996679207e-04
-3.081421052631579283e+00 9.399999999937236339e-05
-3.021342105263157940e+00 1.019999999996024087e-04
-2.961263157894737041e+00 6.899999999987471710e-05
-2.901184210526316143e+00 6.399999999961991648e-05
-2.841105263157894800e+00 6.199999999978444976e-05
-2.781026315789473902e+00 3.899999999967818098e-05
-2.720947368421052559e+00 3.199999999958791363e-05
-2.660868421052631660e+00 2.699999999933311301e-05
-2.600789473684210762e+00 2.900000000005675815e-05
-2.540710526315789419e+00 2.799999999991698019e-05
-2.480631578947368521e+00 3.500000000000724754e-05
-2.420552631578947178e+00 -1.000000000006551204e-05
-2.360473684210526280e+00 9.999999996956887571e-07
-2.300394736842105381e+00 2.299999999966217956e-05
-2.240315789473684482e+00 3.699999999984271426e-05
-2.180236842105263140e+00 3.999999999670933448e-06
-2.120157894736841797e+00 0.000000000000000000e+00
-2.060078947368420899e+00 0.000000000000000000e+00
-2.000000000000000000e+00 -2.000000000013102408e-05
-1.949999999999999956e+00 -5.500000000058236083e-05
-1.899999999999999911e+00 -3.700000000028680347e-05
-1.849999999999999867e+00 -1.110000000004163212e-04
-1.800000000000000044e+00 -1.070000000003012985e-04
-1.750000000000000000e+00 -1.800000000002910383e-04
-1.699999999999999956e+00 -1.680000000003900595e-04
-1.649999999999999911e+00 -1.790000000001512603e-04
-1.600000000000000089e+00 -2.840000000001730029e-04
-1.550000000000000044e+00 -3.580000000003025207e-04
-1.500000000000000000e+00 -3.750000000000142109e-04
-1.449999999999999956e+00 -4.439999999998889280e-04
-1.399999999999999911e+00 -5.130000000006518235e-04
-1.350000000000000089e+00 -5.470000000000752038e-04
-1.300000000000000044e+00 -6.250000000003197442e-04
-1.250000000000000000e+00 -7.280000000000619309e-04
-1.200000000000000178e+00 -7.330000000003167315e-04
-1.149999999999999911e+00 -7.740000000002744684e-04
-1.100000000000000089e+00 -8.910000000001971898e-04
-1.050000000000000044e+00 -1.045000000000406715e-03
-1.000000000000000000e+00 -1.162000000000329436e-03
-9.499999999999999556e-01 -1.276000000000276913e-03
-8.999999999999999112e-01 -1.269999999999882334e-03
-8.499999999999999778e-01 -1.349000000000266652e-03
-7.999999999999999334e-01 -1.489000000000295643e-03
-7.500000000000000000e-01 -1.697000000000059572e-03
-6.999999999999999556e-01 -1.854999999999940030e-03
-6.499999999999999112e-01 -1.983000000000068042e-03
-5.999999999999999778e-01 -2.017000000000379600e-03
-5.500000000000000444e-01 -2.092000000000204807e-03
-5.000000000000000000e-01 -2.292000000000182780e-03
-4.500000000000000111e-01 -2.387999999999834699e-03
-4.000000000000000222e-01 -2.486000000000210264e-03
-3.499999999999999778e-01 -2.512999999999987466e-03
-3.000000000000000444e-01 -2.604000000000272763e-03
-2.500000000000000000e-01 -2.563000000000315026e-03
-2.000000000000000666e-01 -2.600000000000157740e-03
-1.500000000000000222e-01 -2.498000000000111243e-03
-9.999999999999997780e-02 -2.419000000000615103e-03
-5.000000000000004441e-02 -2.308000000000198781e-03
0.000000000000000000e+00 -2.191999999999971749e-03
5.000000000000000278e-02 -2.050000000000107292e-03
1.000000000000000056e-01 -1.925000000000398614e-03
1.499999999999999944e-01 -1.765000000000238600e-03
2.000000000000000111e-01 -1.592000000000037829e-03
2.500000000000000000e-01 -1.392000000000503945e-03
2.999999999999999889e-01 -1.175000000000370193e-03
3.499999999999999778e-01 -9.540000000001214175e-04
3.999999999999999667e-01 -7.220000000001114415e-04
4.499999999999999556e-01 -4.819999999998714202e-04
4.999999999999999445e-01 -2.390000000001002434e-04
5.499999999999999334e-01 -8.999999999925734073e-06
5.999999999999999778e-01 2.469999999998861995e-04
6.500000000000000222e-01 4.839999999997068869e-04
6.999999999999999556e-01 7.129999999997416182e-04
7.500000000000000000e-01 9.319999999997108375e-04
7.999999999999999334e-01 1.136999999999499522e-03
8.499999999999999778e-01 1.319000000000070116e-03
9.000000000000000222e-01 1.504999999999423466e-03
9.499999999999999556e-01 1.654999999999517968e-03
1.000000000000000000e+00 1.816999999999957538e-03
1.050000000000000044e+00 1.963999999999632706e-03
1.100000000000000089e+00 2.088999999999785473e-03
1.150000000000000133e+00 2.158999999999799968e-03
1.199999999999999956e+00 2.240999999999715442e-03
1.250000000000000000e+00 2.085999999999810228e-03
1.300000000000000044e+00 2.247999999999805709e-03
1.350000000000000089e+00 2.301000000000108514e-03
1.399999999999999911e+00 2.240999999999715442e-03
1.449999999999999956e+00 2.062999999999703959e-03
1.500000000000000000e+00 2.069999999999794227e-03
1.550000000000000044e+00 2.148000000000038767e-03
1.600000000000000089e+00 2.095000000000180052e-03
1.649999999999999911e+00 2.075000000000049027e-03
1.699999999999999956e+00 2.066999999999818982e-03
1.750000000000000000e+00 2.028999999999836490e-03
1.799999999999999822e+00 1.910000000000078302e-03
1.850000000000000089e+00 1.888000000000111811e-03
1.899999999999999911e+00 1.730999999999927041e-03
1.949999999999999956e+00 1.666000000000167347e-03
