# epsilon = 1E-4
# theta  (T0-Te)
2.000000000000000000e+00 1.564000000000120849e-03
2.049999999999999822e+00 1.484999999999736531e-03
2.107447368421052403e+00 1.323999999999880828e-03
2.164894736842104983e+00 1.205999999999818328e-03
2.222342105263157563e+00 1.064999999999649560e-03
2.279789473684210588e+00 9.860000000001534204e-04
2.337236842105263168e+00 8.810000000001316778e-04
2.394684210526315749e+00 7.639999999997648672e-04
2.452131578947368329e+00 6.289999999999906777e-04
2.509578947368420909e+00 5.609999999998116493e-04
2.567026315789473934e+00 4.699999999999704414e-04
2.624473684210526514e+00 4.109999999997171471e-04
2.681921052631579094e+00 3.189999999997361613e-04
2.739368421052631675e+00 3.830000000002442562e-04
2.796815789473684255e+00 2.719999999998279350e-04
2.854263157894736835e+00 2.360000000001249987e-04
2.911710526315789416e+00 1.999999999999779732e-04
2.969157894736841996e+00 8.600000000003049649e-05
3.026605263157895020e+00 1.600000000001600142e-04
3.084052631578947601e+00 1.389999999998892122e-04
3.141500000000000181e+00 9.499999999995623057e-05
